class_year,rank_247_composite,rank_rivals,rank_espn,num_signees,notable_signees,confidence,source,note
2013,16,,,24,Keith Ford; Stanvon Taylor; Hatari Byrd,CONFIRMED,https://247sports.com/college/oklahoma/Season/2013-Football/Commits/,247Sports own rank 16; composite 16.
2014,14,,,28,Joe Mixon; Samaje Perine; Mark Andrews,CONFIRMED,https://247sports.com/college/oklahoma/Season/2014-Football/Commits/,247Sports own rank 14; composite 14 (also No. 14 per stormininnorman.com). 27 enrollees + 1 commit.
2015,15,,,29,Neville Gallimore; Rodney Anderson; Ricky DeBerry,CONFIRMED,https://247sports.com/college/oklahoma/Season/2015-Football/Commits/,247Sports own rank 15; composite 15.
2016,19,,,22,Caleb Kelly; Amani Bledsoe; Jordan Parker,CONFIRMED,https://247sports.com/college/oklahoma/Season/2016-Football/Commits/,247Sports own rank 19; composite 19.
2017,8,,,28,CeeDee Lamb; Creed Humphrey; Trey Sermon,CONFIRMED,https://247sports.com/college/oklahoma/Season/2017-Football/Commits/,247Sports own rank 8; composite 8. Confirmed by Yahoo/SoonersWire last-10-classes article and stormininnorman.com.
2018,9,,,24,Brey Walker; Jalen Redmond; Brendan Radley-Hiles,CONFIRMED,https://247sports.com/college/oklahoma/Season/2018-Football/Commits/,247Sports own rank 9; composite 9. Yahoo article lists 23 signees; 247 page shows 24 (23 enrollees + 1 LOI).
2019,6,,,24,Spencer Rattler; Jadon Haselwood; Theo Wease,CONFIRMED,https://247sports.com/college/oklahoma/Season/2019-Football/Commits/,247Sports own rank 4; composite 6. Confirmed by Yahoo article and stormininnorman.com. 24 HS signees; 247 page also lists 4 transfers.
2020,12,,,24,Andrew Raym; Nate Anderson; Jalin Conyers,CONFIRMED,https://247sports.com/college/oklahoma/Season/2020-Football/Commits/,247Sports own rank 12; composite 12. 24 HS signees + 5 transfers on 247 page.
2021,10,,,16,Caleb Williams; Billy Bowman; Clayton Smith,CONFIRMED,https://247sports.com/college/oklahoma/Season/2021-Football/Commits/,247Sports own rank 6; composite 10. Confirmed by Yahoo article. 16 HS signees + 9 transfers.
2022,8,4,,22,Jaren Kanak; Gentry Williams; Jake Taylor,CONFIRMED;CONFLICTING,https://247sports.com/college/oklahoma/Season/2022-Football/Commits/,Current 247 page: own rank 10 / composite 8 (Yahoo article agrees). Rivals No. 4 and 247 No. 5 were reported by SI at signing time (Feb 2022) -- 247 rank has since drifted; Rivals value single-source REPORTED. 22 HS signees + 13 transfers.
2023,5,6,4,25,Jackson Arnold; Adepoju Adebawore; Jaquaize Pettaway,CONFIRMED;CONFLICTING,https://247sports.com/college/oklahoma/Season/2023-Football/Commits/,Current 247 page: own rank 6 / composite 5 (Yahoo article: 5/5). stormininnorman.com (Feb 2023) reported No. 4 in 247Sports team rankings at signing day and ESPN No. 4 / Rivals No. 6 (single source; REPORTED). 25 HS signees + 1 LOI.
2024,8,6,8,28,David Stone; Taylor Tatum; Eugene Brooks,CONFIRMED;REPORTED,https://247sports.com/college/oklahoma/Season/2024-Football/Commits/,247 page: own rank 12 / composite 8. Rivals 6 and ESPN 8 are PRELIMINARY (heading into Dec 2023 early signing day per stormininnorman.com) -- final Rivals/ESPN not verified.
2025,18,7,,18,Michael Fasusi; Ryan Fodje; Trystan Haynes,CONFIRMED;REPORTED,https://247sports.com/college/oklahoma/Season/2025-Football/Commits/,247 page: own rank 17 / composite 18. Rivals 7 is PRELIMINARY (at 23 pledges pre-signing per search summary) -- final Rivals not verified. 18 HS signees + 21 transfers.
2026,16,16,16,25,Jake Kreul; Jonathan Hatton Jr.; Bowe Bentley,CONFIRMED;REPORTED,https://247sports.com/college/oklahoma/Season/2026-Football/Commits/,247 page: own rank 16 / composite 16 (stormininnorman.com reported composite 15 after NSD Feb 2026 -- minor drift). Rivals 16 / ESPN 16 are PRELIMINARY (early signing period Dec 2025). SoonerSports says 24 signed in early period; 247 lists 25 HS + 17 transfers.
