season,date,opponent,opp_rank,ou_rank,site,result,ou_pts,opp_pts,margin,one_score,conf_game,game_type,overtime,era,conference,confidence,source,note
2001,2001-10-13,Kansas,,3,A,W,38,10,28,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-10-20,Baylor,,2,H,W,33,17,16,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-10-27,Nebraska,3,2,A,L,10,20,-10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-11-03,Tulsa,,3,H,W,58,0,58,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-11-10,Texas A&M,,3,H,W,31,10,21,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-11-17,Texas Tech,,3,A,W,30,13,17,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-11-24,Oklahoma State,,4,H,L,13,16,-3,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2002-01-01,Arkansas,,10,N,W,10,3,7,Y,N,BOWL,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,Cotton Bowl Classic
2002,2002-08-30,Tulsa,,1,A,W,37,0,37,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-09-07,Alabama,,2,H,W,37,27,10,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-09-14,UTEP,,2,H,W,68,0,68,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-09-28,South Florida,,2,H,W,31,14,17,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-10-05,Missouri,,2,A,W,31,24,7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-10-12,Texas,3,2,N,W,35,24,11,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-10-19,Iowa State,9,2,H,W,49,3,46,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-02,Colorado,13,2,H,W,27,11,16,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-09,Texas A&M,,1,A,L,26,30,-4,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-16,Baylor,,4,A,W,49,9,40,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-23,Texas Tech,24,4,H,W,60,15,45,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-30,Oklahoma State,,3,A,L,28,38,-10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-12-07,Colorado,12,8,N,W,29,7,22,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,Big 12 Championship Game
2002,2003-01-01,Washington State,7,8,N,W,34,14,20,N,N,BOWL,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,Rose Bowl
2003,2003-08-30,North Texas,,1,H,W,37,3,34,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-09-06,Alabama,,1,A,W,20,13,7,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-09-13,Fresno State,,1,H,W,52,28,24,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-09-20,UCLA,,1,H,W,59,24,35,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-10-04,Iowa State,,1,A,W,53,7,46,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-10-11,Texas,11,1,N,W,65,13,52,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-10-18,Missouri,24,1,H,W,34,13,21,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-10-25,Colorado,,1,A,W,34,20,14,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-11-01,Oklahoma State,14,1,H,W,52,9,43,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-11-08,Texas A&M,,1,H,W,77,0,77,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-11-15,Baylor,,1,H,W,41,3,38,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-11-22,Texas Tech,,1,A,W,56,25,31,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-12-06,Kansas State,12,1,N,L,7,35,-28,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,Big 12 Championship Game
2003,2004-01-04,LSU,2,3,N,L,14,21,-7,Y,N,BCS_TITLE,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,Sugar Bowl) (College GameDay
2004,2004-09-04,Bowling Green,,2,H,W,40,24,16,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-09-11,Houston,,2,H,W,63,13,50,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-09-18,Oregon,,2,H,W,31,7,24,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-02,Texas Tech,,2,H,W,28,13,15,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-09,Texas,5,2,N,W,12,0,12,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-16,Kansas State,,2,A,W,31,21,10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-23,Kansas,,2,H,W,41,10,31,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-30,Oklahoma State,20,2,A,W,38,35,3,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-11-06,Texas A&M,22,2,A,W,42,35,7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-11-13,Nebraska,,2,H,W,30,3,27,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-11-20,Baylor,,2,A,W,35,0,35,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-12-04,Colorado,,2,N,W,42,3,39,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,Big 12 Championship Game
2004,2005-01-04,USC,1,2,N,L,19,55,-36,N,N,BCS_TITLE,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,"Orange Bowl—BCS National Championship Game, College GameDay"
2005,2005-09-03,TCU,,7,H,L,10,17,-7,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-09-10,Tulsa,,18,H,W,31,15,16,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-09-17,UCLA,,21,A,L,24,41,-17,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-10-01,Kansas State,,,H,W,43,21,22,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-10-08,Texas,2,,N,L,12,45,-33,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-10-15,Kansas,,,N,W,19,3,16,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-10-22,Baylor,,,H,W,37,30,7,Y,Y,REG,Y,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-10-29,Nebraska,,,A,W,31,24,7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-11-12,Texas A&M,,,H,W,36,30,6,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-11-19,Texas Tech,21,,A,L,21,23,-2,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score/CORRECTED-opp_rank,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,"OU's 2005 article template says opprank=19; Texas Tech's own 2005 article gives rank=21 for this game, and ESPN's curatedRank for the same game is 21. Three sources against one."
2005,2005-11-26,Oklahoma State,,,H,W,42,14,28,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-12-29,Oregon,6,,N,W,17,14,3,Y,N,BOWL,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,Holiday Bowl
2006,2006-09-02,UAB,,10,H,W,24,17,7,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-09-09,Washington,,15,H,W,37,20,17,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-09-16,Oregon,18,15,A,L,33,34,-1,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-09-23,Middle Tennessee,,17,H,W,59,0,59,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-10-07,Texas,7,14,N,L,10,28,-18,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-10-14,Iowa State,,23,H,W,34,9,25,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-10-21,Colorado,,20,H,W,24,3,21,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-10-28,Missouri,23,19,A,W,26,10,16,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-11-04,Texas A&M,21,18,A,W,17,16,1,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-11-11,Texas Tech,,17,H,W,34,24,10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-11-18,Baylor,,16,A,W,36,10,26,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-11-25,Oklahoma State,,13,A,W,27,21,6,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,
2006,2006-12-02,Nebraska,19,8,N,W,21,7,14,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,Big 12 Championship Game / rivalry
2006,2007-01-01,Boise State,9,7,N,L,42,43,-1,Y,N,BOWL,Y,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2006_Oklahoma_Sooners_football_team,Fiesta Bowl
2007,2007-09-01,North Texas,,8,H,W,79,10,69,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-09-08,Miami,,5,H,W,51,13,38,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-09-15,Utah State,,3,H,W,54,3,51,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-09-21,Tulsa,,4,A,W,62,21,41,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-09-29,Colorado,,3,A,L,24,27,-3,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-10-06,Texas,19,10,N,W,28,21,7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-10-13,Missouri,11,6,H,W,41,31,10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-10-20,Iowa State,,4,A,W,17,7,10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-11-03,Texas A&M,,5,H,W,42,14,28,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-11-10,Baylor,,4,H,W,52,21,31,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-11-17,Texas Tech,,3,A,L,27,34,-7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-11-24,Oklahoma State,,10,H,W,49,17,32,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,
2007,2007-12-01,Missouri,1,9,N,W,38,17,21,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,Big 12 Championship Game / rivalry) (College GameDay
2007,2008-01-02,West Virginia,11,3,N,L,28,48,-20,N,N,BOWL,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2007_Oklahoma_Sooners_football_team,Fiesta Bowl
2008,2008-08-30,Chattanooga,,4,H,W,57,2,55,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-09-06,Cincinnati,,4,H,W,52,26,26,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-09-13,Washington,,3,A,W,55,14,41,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-09-27,TCU,24,2,H,W,35,10,25,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-10-04,Baylor,,1,A,W,49,17,32,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-10-11,Texas,5,1,N,L,35,45,-10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-10-18,Kansas,16,4,H,W,45,31,14,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-10-25,Kansas State,,4,A,W,58,35,23,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-11-01,Nebraska,,4,H,W,62,28,34,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-11-08,Texas A&M,,6,A,W,66,28,38,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-11-22,Texas Tech,2,5,H,W,65,21,44,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-11-29,Oklahoma State,11,3,A,W,61,41,20,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,
2008,2008-12-06,Missouri,19,4,N,W,62,21,41,N,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,"Big 12 Championship Game, rivalry"
2008,2009-01-08,Florida,1,2,N,L,14,24,-10,N,N,BCS_TITLE,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2008_Oklahoma_Sooners_football_team,"BCS Championship Game, College GameDay"
2009,2009-09-05,BYU,20,3,N,L,13,14,-1,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-09-12,Idaho State,,13,H,W,64,0,64,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-09-19,Tulsa,,12,H,W,45,0,45,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-10-03,Miami,17,8,A,L,20,21,-1,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-10-10,Baylor,,19,H,W,33,7,26,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-10-17,Texas,3,20,N,L,13,16,-3,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-10-24,Kansas,24,25,A,W,35,13,22,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-10-31,Kansas State,,22,H,W,42,30,12,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
2009,2009-11-07,Nebraska,,20,A,L,3,10,-7,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2009_Oklahoma_Sooners_football_team,
