season,fpi,fpi_rank,sos_rank,sor_rank,game_control_rank,avg_wp_rank,eff_total,eff_total_rank,eff_off,eff_off_rank,eff_def,eff_def_rank,eff_st_rank,sp_rating,sp_rank,sp_off,sp_off_rank,sp_def,sp_def_rank,sp_sos_rank,confidence,source,note
2015,26.244,2.0,26.0,3.0,6.0,11.0,84.773,3.0,81.167,12.0,80.184,5.0,87.0,22.7,7,41.7,11,19.3,17,26,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2015); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2016,22.541,7.0,10.0,4.0,9.0,7.0,82.757,7.0,92.146,1.0,59.106,43.0,92.0,26.1,4,48.7,1,22.9,31,40,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2016); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2017,22.324,6.0,13.0,4.0,5.0,5.0,85.889,6.0,96.583,1.0,52.32,58.0,119.0,25.5,7,49.8,1,24.2,43,29,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2017); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2018,21.292,5.0,9.0,5.0,9.0,16.0,83.298,5.0,96.603,1.0,41.094,92.0,13.0,24.9,4,54.0,1,30.0,84,61,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2018); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2019,19.901,13.0,21.0,9.0,8.0,10.0,82.365,10.0,89.107,4.0,60.458,44.0,75.0,22.9,8,46.1,3,24.9,48,,REPORTED,"ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2019); https://www.puntandrally.com/viewSandPratings.php?whichyear=2019 (reprint of Connelly/ESPN final SP+; 130 FBS teams); off/def ranks PUBLISHED by ESPN, 'Final SP+ rankings for the 2019 college football season' (espn.com/college-football/story/_/id/28497018)",off/def ranks PUBLISHED (not derived); competition-ranking the full 130-team list independently gives 3/47; CONFLICTING: puntandrally-derived defense rank 47 vs ESPN-published 48 (untied)
2020,24.338,4.0,19.0,5.0,2.0,2.0,88.069,4.0,82.053,8.0,81.858,5.0,22.0,25.7,4,44.8,3,19.6,15,,REPORTED/ESTIMATED-derived-ranks,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2020); https://www.puntandrally.com/viewSandPratings.php?whichyear=2020 (reprint of Connelly/ESPN final SP+; 130 FBS teams),SP+ overall rank/rating as published; off/def RANKS derived by competition-ranking the full 130-team FBS list of published off/def ratings (method validated in this same build against the seasons where ranks are published)
2021,17.593,5.0,40.0,9.0,16.0,20.0,76.795,7.0,80.118,4.0,60.927,39.0,37.0,16.8,13,41.1,3,25.6,57,,REPORTED/ESTIMATED-derived-ranks,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2021); https://www.puntandrally.com/viewSandPratings.php?whichyear=2021 (reprint of Connelly/ESPN final SP+; 130 FBS teams),SP+ overall rank/rating as published; off/def RANKS derived by competition-ranking the full 130-team FBS list of published off/def ratings (method validated in this same build against the seasons where ranks are published); defense rating ties LSU — published tie-break may differ by 1
2022,9.969,23.0,32.0,55.0,21.0,46.0,66.271,27.0,71.907,19.0,54.872,55.0,72.0,15.4,19,40.8,13,26.5,65,,REPORTED/ESTIMATED-derived-ranks,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2022); https://www.puntandrally.com/viewSandPratings.php?whichyear=2022 (reprint of Connelly/ESPN final SP+; 131 FBS teams),SP+ overall rank/rating as published; off/def RANKS derived by competition-ranking the full 131-team FBS list of published off/def ratings (method validated in this same build against the seasons where ranks are published); defense rating ties Oregon — published tie-break may differ by 1
2023,20.683,9.0,50.0,14.0,10.0,9.0,81.557,10.0,80.1,9.0,76.853,11.0,127.0,16.4,13,39.4,7,21.8,33,,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2023); https://www.puntandrally.com/viewSandPratings.php?whichyear=2023 (reprint of Connelly/ESPN final SP+; 133 FBS teams); off/def ranks PUBLISHED by puntandrally.com per-side SP+ views (whichside=off / whichside=def),off/def ranks PUBLISHED (not derived); competition-ranking the full 133-team list independently gives 7/33; defense rating ties Kentucky
2024,10.415,30.0,9.0,42.0,35.0,77.0,62.486,43.0,39.191,95.0,77.793,10.0,41.0,9.5,34,25.9,76,17.8,17,,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2024); https://www.puntandrally.com/viewSandPratings.php?whichyear=2024 (reprint of Connelly/ESPN final SP+; 134 FBS teams); off/def ranks PUBLISHED by puntandrally.com per-side SP+ views (whichside=off / whichside=def),off/def ranks PUBLISHED (not derived); competition-ranking the full 134-team list independently gives 75/17; offense rating ties UAB; defense rating ties Auburn
2025,15.944,15.0,14.0,12.0,10.0,13.0,78.901,15.0,53.346,59.0,86.371,5.0,10.0,18.3,14,30.1,51,12.9,4,,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2025); https://www.puntandrally.com/viewSandPratings.php?whichyear=2025 (reprint of Connelly/ESPN final SP+; 136 FBS teams); off/def ranks PUBLISHED by puntandrally.com per-side SP+ views (whichside=off / whichside=def),off/def ranks PUBLISHED (not derived); competition-ranking the full 136-team list independently gives 51/4
