topic,subject,finding,value,confidence,source,note
dynasty,Arizona (Mike Candrea),"Candrea dynasty: 8 titles over 17 seasons",8 titles 1991-2007,CONFIRMED,Wikipedia Mike Candrea + Tucson.com,"Titles 1991, 1993, 1994, 1996, 1997, 2001, 2006, 2007. Peak 1990s. Candrea retired 2021 as winningest coach in softball history (1,674 wins); 24 WCWS appearances. Best consecutive run = back-to-back (1993-94, 1996-97, 2006-07); never a 3-peat."
dynasty,UCLA (1988-1995),"UCLA's peak run: dominant late-80s/early-90s core",Titles 1988-1990 (3-peat) + 1992,CONFIRMED,Wikipedia UCLA softball + SI + NCAA.com,"1988-90 three-peat went 163-19. Then 1992, and 1995 (vacated). UCLA is the all-time program leader (12 recognized). Best consecutive = 3-peat 1988-90."
dynasty_marker,UCLA 1990,Single-season dominance marker,122 consecutive scoreless innings; 54-6,REPORTED,Extra Inning Softball + Wikipedia,"During a 22-game win streak (Mar 31-May 3) outscored opponents 68-3, including 122 straight scoreless innings over 13 games. 1990 title team."
dynasty,Washington (2009),"Washington title era under Heather Tarr",1 title (2009),CONFIRMED,ESPN all-time champions list,"Danielle Lawrie-led 2009 champions. Not a multi-title dynasty; single peak title. Frequent WCWS contender otherwise."
dynasty,Florida (Tim Walton),"Florida back-to-back under Tim Walton",2 titles 2014-2015,CONFIRMED,ESPN + Wikipedia,"Back-to-back 2014 and 2015. Florida also reached finals 2011, 2013, 2017, 2023. 2014-15 is the dynasty peak."
dynasty,Alabama (Patrick Murphy),"Alabama 2012 title",1 title (2012),CONFIRMED,ESPN all-time champions list,"First SEC program to win a softball national title (2012). Perennial WCWS team (16 appearances) but single championship."
dynasty,Texas (Mike White),"Texas recent rise: first titles 2025 + 2026 back-to-back",2 titles 2025-2026,CONFIRMED,texaslonghorns.com + Orangebloods + ESPN list,"2025 = program's FIRST national title; 2026 = repeat (def. Texas Tech 4-1). Teagan Kavan became first 2-time WCWS Most Outstanding Player (2025, 2026). Texas BEAT Oklahoma in the 2024 final series but lost; Texas won 2025 & 2026. Note: Texas did NOT win 2025 over OU's four-peat year - the four-peat ended 2024, then Texas won 2025."
dynasty,Oklahoma (Patty Gasso),"Gasso dynasty: 8 titles + unprecedented four-peat",8 titles; 2021-2024 four-peat,CONFIRMED,soonersports.com + Wikipedia + ESPN,"Titles 2000, 2013, 2016, 2017, 2021, 2022, 2023, 2024. 2016-17 back-to-back, then 2021-2024 FOUR-PEAT. Gasso's 8 titles tie Candrea for most by any D1 softball coach."
four_peat,Oklahoma 2021-2024,"FIRST four-peat in NCAA D1 softball history",4 straight titles (unprecedented),CONFIRMED,soonersports.com 'FOUR PEAT COMPLETE' + Big 12 + Wikipedia + Yahoo,"VERIFIED YES - unprecedented. No NCAA D1 softball program had ever won 4 consecutive titles. Prior max was 3 (UCLA 1988-90; OU itself 2021-23 tied that before extending to 4). Clinched June 6, 2024 def. Texas."
four_peat_record,Oklahoma 2021-2024,Combined record over the four-peat,235-15 (.940),CONFIRMED,Wikipedia Oklahoma Sooners softball,"2021: 56-4 | 2022: 59-3 | 2023: 61-1 | 2024: 59-7. (A widely-cited variant figure is 232-15; the Wikipedia season-by-season sums to 235-15.)"
season_marker,Oklahoma 2022,"Argued most dominant single season in D1 softball history",59-3 (.952),REPORTED,SI Oklahoma + Wikipedia 2022 OU,"40 run-rule wins in 62 games (record); 38-0 start (NCAA record win streak to open a season); all 3 losses came to WCWS semifinalists (Texas, Oklahoma State, UCLA). Win% one point shy of UCLA 1992 but deemed more dominant."
season_marker,Oklahoma 2023,Near-perfect season,61-1 (.984),CONFIRMED,Wikipedia 2023 OU + ESPN,"Only loss was Feb 4-3 to Baylor at a Waco tournament. Highest win% of the four-peat seasons."
peak_comparison,Oklahoma vs UCLA vs Arizona,"Best consecutive-title runs head-to-head","OU 4 > UCLA 3 > Arizona 2",CONFIRMED,Derived from ESPN/Wikipedia title-year lists,"Longest consecutive title streaks: Oklahoma 4 (2021-24); UCLA 3 (1988-90); Arizona best was back-to-back (never 3+). By consecutive-title peak, OU's four-peat is the greatest sustained run in the sport's history. UCLA still leads career total titles (12) and appearances (37)."
context,GOAT-coach tie,"Most national titles by a single D1 softball coach",8 (tie: Gasso & Candrea),CONFIRMED,Wikipedia Patty Gasso + Mike Candrea,"Patty Gasso (Oklahoma) and Mike Candrea (Arizona) are tied at 8 each - the two winningest coaches by championships in the sport."
